"ProbeID","Expression"
"1552582_at",2.972301433
"1552583_s_at",3.207082885
"1552584_at",5.627027889
"1552585_s_at",1.656875183
"1552586_at",2.236344511
"1552587_at",2.118183829
"1552588_a_at",1.633800232
"1552590_a_at",1.425260344
"1552592_at",2.24050064
"1552594_at",2.000445311
"1552596_at",2.48674211
"1552598_at",1.987768909
"1552599_at",1.549365925
"1552602_at",2.20834969
"1552604_at",2.683371198
"1552605_s_at",1.987383177
"1552607_at",2.941153129
"1552608_at",2.356892007
"1552609_s_at",1.783873654
"1552610_a_at",6.313324996
"1552611_a_at",1.96354948
"1552612_at",5.2059833
"1552613_s_at",6.443737785
"1552615_at",3.711278362
"1552616_a_at",1.917315544
"1552617_a_at",7.397416168
"1552618_at",3.451626031
"1552619_a_at",1.5512692
"1552620_at",2.767331454
"1552621_at",6.275757746
"1552622_s_at",4.514235569
"1552623_at",5.931387066
"1552625_a_at",4.438874742
"1552626_a_at",2.172020762
"1552627_a_at",2.366051347
"1552628_a_at",7.935480504
"1552629_a_at",2.201485316
"1552630_a_at",2.185378028
"1552631_a_at",2.819583901
"1552632_a_at",2.511291869
"1552633_at",4.570050837
"1552634_a_at",6.284338025
"1552637_at",1.14145991
"1552639_at",2.658328278
"1552641_s_at",2.114662987
"1552643_at",3.904450713
"1552644_a_at",2.546779603
"1552646_at",2.893201265
"1552648_a_at",2.056792015
"1552649_a_at",2.585025824
"1552651_a_at",3.66975198
"1552652_at",3.176969221
"1552656_s_at",1.676920596
"1552657_a_at",2.313865668
"1552658_a_at",1.843684069
"1552660_a_at",2.861166318
"1552661_at",2.110533199
"1552662_a_at",1.065484274
"1552663_a_at",2.23790676
"1552664_at",5.23615058
"1552665_at",1.99246432
"1552666_a_at",1.386018465
"1552667_a_at",5.335988668
"1552669_at",2.332136948
"1552670_a_at",3.2627823
"1552671_a_at",2.479907875
"1552672_a_at",1.872855967
"1552673_at",1.461865576
"1552674_at",1.971541829
"1552675_at",1.883814302
"1552676_at",2.830070335
"1552677_a_at",2.463665476
"1552678_a_at",1.684699578
"1552680_a_at",2.424233055
"1552682_a_at",1.709598715
"1552684_a_at",1.558722017
"1552685_a_at",2.054222277
"1552686_at",2.787470169
"1552687_a_at",1.933960963
"1552689_at",1.524027826
"1552690_a_at",1.941808188
"1552691_at",9.282595477
"1552693_at",1.640070076
"1552694_at",2.37708891
"1552695_a_at",1.575233239
"1552696_at",1.866006412
"1552698_at",2.572293079
"1552701_a_at",8.937334456
"1552703_s_at",9.231396779
"1552705_at",1.844018868
"1552708_a_at",2.467357889
"1552711_a_at",3.277273162
"1552712_a_at",1.799139203
"1552713_a_at",3.03744917
"1552714_at",2.220806123
